,Iterations per Move,Group,Mode,Metric,Value
0,5,EB,mini,draw,0.0
1,5,EB,mini,win,0.85
2,5,EB,mini,loss,0.15
3,5,EB,mini,time,1.4982490539550781
4,10,EB,mini,draw,0.0
5,10,EB,mini,win,0.84
6,10,EB,mini,loss,0.16
7,10,EB,mini,time,1.724153995513916
8,25,EB,mini,draw,0.0
9,25,EB,mini,win,0.95
10,25,EB,mini,loss,0.05
11,25,EB,mini,time,2.1996500492095947
12,50,EB,mini,draw,0.0
13,50,EB,mini,win,0.98
14,50,EB,mini,loss,0.02
15,50,EB,mini,time,2.8552708625793457
16,100,EB,mini,draw,0.0
17,100,EB,mini,win,0.99
18,100,EB,mini,loss,0.01
19,100,EB,mini,time,3.8924880027770996
20,200,EB,mini,draw,0.0
21,200,EB,mini,win,1.0
22,200,EB,mini,loss,0.0
23,200,EB,mini,time,5.907191038131714
24,500,EB,mini,draw,0.0
25,500,EB,mini,win,1.0
26,500,EB,mini,loss,0.0
27,500,EB,mini,time,9.07170295715332
28,1000,EB,mini,draw,0.0
29,1000,EB,mini,win,1.0
30,1000,EB,mini,loss,0.0
31,1000,EB,mini,time,13.936406135559082
32,5000,EB,mini,draw,0.0
33,5000,EB,mini,win,1.0
34,5000,EB,mini,loss,0.0
35,5000,EB,mini,time,33.50043702125549
36,5,EB,random,draw,0.0
37,5,EB,random,win,0.8
38,5,EB,random,loss,0.2
39,5,EB,random,time,1.4916150569915771
40,10,EB,random,draw,0.0
41,10,EB,random,win,0.82
42,10,EB,random,loss,0.18
43,10,EB,random,time,1.6703717708587646
44,25,EB,random,draw,0.0
45,25,EB,random,win,0.96
46,25,EB,random,loss,0.04
47,25,EB,random,time,2.237994909286499
48,50,EB,random,draw,0.0
49,50,EB,random,win,0.96
50,50,EB,random,loss,0.04
51,50,EB,random,time,2.7925782203674316
52,100,EB,random,draw,0.0
53,100,EB,random,win,1.0
54,100,EB,random,loss,0.0
55,100,EB,random,time,4.146665811538696
56,200,EB,random,draw,0.0
57,200,EB,random,win,1.0
58,200,EB,random,loss,0.0
59,200,EB,random,time,6.533596038818359
60,500,EB,random,draw,0.0
61,500,EB,random,win,1.0
62,500,EB,random,loss,0.0
63,500,EB,random,time,12.625176191329956
64,1000,EB,random,draw,0.0
65,1000,EB,random,win,1.0
66,1000,EB,random,loss,0.0
67,1000,EB,random,time,20.06807589530945
68,5000,EB,random,draw,0.0
69,5000,EB,random,win,1.0
70,5000,EB,random,loss,0.0
71,5000,EB,random,time,72.81428790092468
72,5,AB,mini,draw,0.08
73,5,AB,mini,win,0.78
74,5,AB,mini,loss,0.14
75,5,AB,mini,time,1.3962111473083496
76,10,AB,mini,draw,0.06
77,10,AB,mini,win,0.8
78,10,AB,mini,loss,0.14
79,10,AB,mini,time,1.3340699672698975
80,25,AB,mini,draw,0.03
81,25,AB,mini,win,0.94
82,25,AB,mini,loss,0.03
83,25,AB,mini,time,1.3782398700714111
84,50,AB,mini,draw,0.03
85,50,AB,mini,win,0.95
86,50,AB,mini,loss,0.02
87,50,AB,mini,time,1.2489430904388428
88,100,AB,mini,draw,0.02
89,100,AB,mini,win,0.96
90,100,AB,mini,loss,0.02
91,100,AB,mini,time,1.3927690982818604
92,200,AB,mini,draw,0.01
93,200,AB,mini,win,0.98
94,200,AB,mini,loss,0.01
95,200,AB,mini,time,1.430919885635376
96,500,AB,mini,draw,0.0
97,500,AB,mini,win,1.0
98,500,AB,mini,loss,0.0
99,500,AB,mini,time,1.5474162101745605
100,1000,AB,mini,draw,0.0
101,1000,AB,mini,win,1.0
102,1000,AB,mini,loss,0.0
103,1000,AB,mini,time,1.6018712520599365
104,5000,AB,mini,draw,0.0
105,5000,AB,mini,win,1.0
106,5000,AB,mini,loss,0.0
107,5000,AB,mini,time,2.527625322341919
108,5,AB,random,draw,0.04
109,5,AB,random,win,0.78
110,5,AB,random,loss,0.18
111,5,AB,random,time,1.3778660297393799
112,10,AB,random,draw,0.07
113,10,AB,random,win,0.85
114,10,AB,random,loss,0.08
115,10,AB,random,time,1.3642497062683105
116,25,AB,random,draw,0.05
117,25,AB,random,win,0.84
118,25,AB,random,loss,0.11
119,25,AB,random,time,1.415193796157837
120,50,AB,random,draw,0.01
121,50,AB,random,win,0.98
122,50,AB,random,loss,0.01
123,50,AB,random,time,1.447904109954834
124,100,AB,random,draw,0.01
125,100,AB,random,win,0.96
126,100,AB,random,loss,0.03
127,100,AB,random,time,1.456484079360962
128,200,AB,random,draw,0.01
129,200,AB,random,win,0.99
130,200,AB,random,loss,0.0
131,200,AB,random,time,1.4924850463867188
132,500,AB,random,draw,0.0
133,500,AB,random,win,0.99
134,500,AB,random,loss,0.01
135,500,AB,random,time,1.6663177013397217
136,1000,AB,random,draw,0.0
137,1000,AB,random,win,1.0
138,1000,AB,random,loss,0.0
139,1000,AB,random,time,1.835174322128296
140,5000,AB,random,draw,0.0
141,5000,AB,random,win,1.0
142,5000,AB,random,loss,0.0
143,5000,AB,random,time,3.6830031871795654
